,"Post-op Sz Freedom (Engel Ia, Ib; ILAE 1, 2)","Concordant Neurophys & Imaging (MRI, PET, SPECT)",sEEG (y) and/or ES (ES),Reference,Relevant Tot Sample,Tot Pt included,Reported Semiology,Semiology Category,Ground truth description,Lateralising,CL,IL,BL (Non-lateralising),DomH,NonDomH,Localising,Reported Localisation,TL,Anterior (temporal pole),Lateral Temporal,"STG (includes Transverse Temporal Gyrus, Both Planum)","Transverse Temporal Gyrus (Heschl's, BA 41,  42, ?opercula)",Planum Temporale,Planum Polare,MTG,ITG,Mesial Temporal,Ant Mesial Temporal,Post Mesial Temporal,Enthorinal Cortex,Fusiform,AMYGD,PARAHIPPOCAMPUS,HIPPOCAMPUS,Posterior Temporal,Basal (including Fusiform OTMG),OTMG (fusiform),FL,frontal pole,"Pre-frontal (BA 8, 9, 10, 11, 12, 13, 14, 24, 25, 32, 44, 45, 46, 47)","DL-PFC (BA 46) (include subgroups BA 9, 8, 10 - frontopolar/anterior prefrontal)",gyrus rectus (basal = gyrus rectus and OFC),"Orbito-frontal (BA 10, 11, 12/47) (basal = gyrus rectus and OFC)",Post OF,Lat OF,Med OF,Medial Frontal (include medial premotor and its constituents as its subsets),"Primary Motor Cortex (Pre-central gyrus, BA 4, Rolandic)",medial precentral,Rolandic Operculum (low BA4),SFG (F1),Med SFG,Post SFG,Ant SFG,MFG (F2),Ant MFG,Mid MFG,Post MFG,"IFG (F3)
(BA 44,45,47)","Pars orbitalis (subgroup of IFG)
(BA 47)",Pars Triangularis (subgroup IFG),"Pars opercularis (BA 44)(subgroup IFG, ?opercula)",Premotor frontal (posterior frontal),"Ant Premotor (BA 8, frontal-eye-fields)","Lateral Premotor
(BA 6)",Medial Premotor (including pre SMA),"SMA (pre-central gyrus; posterior SFG, MFG)",SSMA,CING,Cingulum (WM),"Ant Cing (frontal, genu)",Dorsal Ant Cing (BA 32),Middle Cingulate,Post Cing,Isthmus,PL,Primary Sensory Cortex (post-central gyrus),medial anterior parietal,Sup. pariet. lobule,Precuneus (medial post sup parietal lobule),Inferior Parietal Lobule,Supramarg gyrus (post part of parietal operculum),Angular gyrus (BA 39),parietal operculum (ceiling of secondary somatosensory cortex),OL,Mesial Occipital,Lingual gyrus  (medial and basal),Cuneus,"Lateral Occipital (SOG, IOG, LOG)",Posterior Occipital Gyrus,Superior Occipital Gyrus,INSULA,Ant Ins,Anterior Short Gyrus,Middle Short Gyrus,Post short gyrus,Precentral gyrus,Postcentral gyrus,Posterior long gyrus,Hypothalamus,Sub-Callosal Cortex,Cerebellum,Hemisphere,Vermis,FT,TO,TP,FTP,TPO Junction,PO,FP,Perisylvian,paper including paediatric  age group (0-17) or individual data from pt 0-17,paediatric subgroup <7 years (0-6 yrs) y/n,# tot pt in the paper,# pt excluded,# pt sz free post-surg,Cortical Stimulation (CS),Spontaneous Semiology (SS),Epilepsy Topology (ET),"Other factors (e.g. Abs, genetic mutations)",Year,Color,Labels,Priors,AGE,OTHER,SemioDict Key
0,,,ES,"Afif A, Minotti L, Kahane P, et al. Middle short gyrus of the insula implicated in speech production: intracerebral electric stimulation of patients with epilepsy. Epilepsia 2010;51:206-213.",17,25.0,speech arrest,Aphasia,Electrical Stimulation in the context of pre-surg VT study,5.0,,,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,4.0,,,1.0,,,,,,,,,,,,,,,,,25.0,,,y,,,,2010,#F27420,sEEG Only,Cortical Stimulation (CS),Unlabelled Age,0.0,Aphasia
1,,,ES,"Afif A, Minotti L, Kahane P, et al. Middle short gyrus of the insula implicated in speech production: intracerebral electric stimulation of patients with epilepsy. Epilepsia 2010;51:206-213.",20,,lower of speech intensity,Speech,Electrical Stimulation in the context of pre-surg VT study,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,y,,,,2010,#F27420,sEEG Only,Cortical Stimulation (CS),Unlabelled Age,0.0,
2,,,ES,"Afif A, Minotti L, Kahane P, et al. Middle short gyrus of the insula implicated in speech production: intracerebral electric stimulation of patients with epilepsy. Epilepsia 2010;51:206-213.",20,,parasthesias and warm sensation,Aura (Somatosensory),Electrical Stimulation in the context of pre-surg VT study,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,11.0,,,,,,,,,,,,,,,,,,,,y,,,,2010,#F27420,sEEG Only,Cortical Stimulation (CS),Unlabelled Age,0.0,Somatosensory
3,,,ES,"Afif A, Minotti L, Kahane P, et al. Middle short gyrus of the insula implicated in speech production: intracerebral electric stimulation of patients with epilepsy. Epilepsia 2010;51:206-213.",20,,motor,Motor,Electrical Stimulation in the context of pre-surg VT study,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,1.0,,1.0,8.0,1.0,,,,,,,,,,,,,,,,,,,y,,,,2010,#F27420,sEEG Only,Cortical Stimulation (CS),Unlabelled Age,0.0,
4,,,ES,"Afif A, Minotti L, Kahane P, et al. Middle short gyrus of the insula implicated in speech production: intracerebral electric stimulation of patients with epilepsy. Epilepsia 2010;51:206-213.",17,,painful response,Pain,Electrical Stimulation in the context of pre-surg VT study,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,8.0,,,,,,,,,,,,,,,,,,,,,,,y,,,,2010,#F27420,sEEG Only,Cortical Stimulation (CS),Unlabelled Age,0.0,
5,,,ES,"Afif A, Minotti L, Kahane P, et al. Middle short gyrus of the insula implicated in speech production: intracerebral electric stimulation of patients with epilepsy. Epilepsia 2010;51:206-213.",20,,auditory,Auditory,Electrical Stimulation in the context of pre-surg VT study,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,y,,,,2010,#F27420,sEEG Only,Cortical Stimulation (CS),Unlabelled Age,0.0,Auditory
6,,,ES,"Afif A, Minotti L, Kahane P, et al. Middle short gyrus of the insula implicated in speech production: intracerebral electric stimulation of patients with epilepsy. Epilepsia 2010;51:206-213.",,,"neurovegetative, that is, facial rubefaction
with general warm sensation, cool sensation, hypogastric
sensation, rotation, and nausea","Autonomic (Flush, Nausea), Somatosensory, Epigastric, Vestibular",Electrical Stimulation in the context of pre-surg VT study,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,2010,#F27420,sEEG Only,Cortical Stimulation (CS),Unlabelled Age,0.0,Vestibular
7,,y,,"Agarwal P, Kaul B, Shukla G, et al. Lateralizing value of unilateral relative ictal immobility in patients with refractory focal seizures--Looking beyond unilateral automatisms. Seizure 2015;33:66-71.",24,19.0,unilateral relative ictal immobility (lasting at least 10sec) without CL t/c/dyst face or limb movements,Ictal Immobility,100% concordance with VEEG and MRI data; and/or good post-surgical outcome (Engel Class I),21.0,21.0,,,,,21.0,,12.599999999999998,,,,,,,,,8.0,,,,,,,,,,,4.199999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1499999999999995,,,,,,,,,1.0499999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,5,,,y,,,2015,#F27420,Concordance Only,Spontaneous Semiology (SS),Unlabelled Age,0.0,Ictal Limb Paresis
8,,y,,"Agarwal P, Kaul B, Shukla G, et al. Lateralizing value of unilateral relative ictal immobility in patients with refractory focal seizures--Looking beyond unilateral automatisms. Seizure 2015;33:66-71.",,,"epigastric aura, epigastric rising sensation",Aura (Epigastric),100% concordance with VEEG and MRI data; and/or good post-surgical outcome (Engel Class I),,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,2015,#F27420,Concordance Only,Spontaneous Semiology (SS),Unlabelled Age,0.0,Olfactory
9,,y,,"Agarwal P, Kaul B, Shukla G, et al. Lateralizing value of unilateral relative ictal immobility in patients with refractory focal seizures--Looking beyond unilateral automatisms. Seizure 2015;33:66-71.",,,fear,Fear-Anxiety,100% concordance with VEEG and MRI data; and/or good post-surgical outcome (Engel Class I),,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,2015,#F27420,Concordance Only,Spontaneous Semiology (SS),Unlabelled Age,0.0,Fear-Anxiety
