,Frontal Lobe,Cingulate,Parietal Lobe,Occipital Lobe,Insula,Hypothalamus,Anterior Temporal,Lateral Temporal,Mesial Temporal,Posterior Temporal,Basal Temporal
Frontal Lobe,1.0,0.7885454743053737,0.5982906041634738,0.38639346169688843,0.4031046453937555,0.4672462771203131,0.6221042238436952,0.5979386803806842,0.6501262586270653,0.2905159903065482,0.3722329022591117
Cingulate,0.7885454743053737,1.0,0.25825506390024644,0.14532892174476317,0.4043070491550303,0.3263479284551589,0.6414475072384818,0.28565795655687054,0.6113804109776205,0.22407155021039063,0.2598049014831467
Parietal Lobe,0.5982906041634738,0.25825506390024644,1.0,0.5876419331970082,0.5570238783602616,0.5559907160303219,0.47520484425255827,0.6014751706019925,0.6223188549842545,0.4786669874359846,0.4596025107727062
Occipital Lobe,0.38639346169688843,0.14532892174476317,0.5876419331970082,1.0,0.10458896396396396,0.3036032470644157,0.23601830519381337,0.2716823519092161,0.3354649407014075,0.3059829708758381,0.48458395118567005
Insula,0.4031046453937555,0.4043070491550303,0.5570238783602616,0.10458896396396396,1.0,0.413572841553526,0.4623614135559235,0.37570837331869755,0.6169744731392168,0.4442018559034036,0.4342238457935546
Hypothalamus,0.4672462771203131,0.3263479284551589,0.5559907160303219,0.3036032470644157,0.413572841553526,1.0,0.492287554532438,0.5839667406081173,0.40699171794385863,0.5455258418678867,0.10670003597730088
Anterior Temporal,0.6221042238436952,0.6414475072384818,0.47520484425255827,0.23601830519381337,0.4623614135559235,0.492287554532438,1.0,0.5240929705215419,0.7849394825880884,0.6109619701011197,0.17562210242034276
Lateral Temporal,0.5979386803806842,0.28565795655687054,0.6014751706019925,0.2716823519092161,0.37570837331869755,0.5839667406081173,0.5240929705215419,1.0,0.6013052345286389,0.29572144361127944,-0.008657427584101403
Mesial Temporal,0.6501262586270653,0.6113804109776205,0.6223188549842545,0.3354649407014075,0.6169744731392168,0.40699171794385863,0.7849394825880884,0.6013052345286389,1.0,0.45609290193522267,0.27665086768462227
Posterior Temporal,0.2905159903065482,0.22407155021039063,0.4786669874359846,0.3059829708758381,0.4442018559034036,0.5455258418678867,0.6109619701011197,0.29572144361127944,0.45609290193522267,1.0,0.27297819005044094
Basal Temporal,0.3722329022591117,0.2598049014831467,0.4596025107727062,0.48458395118567005,0.4342238457935546,0.10670003597730088,0.17562210242034276,-0.008657427584101403,0.27665086768462227,0.27297819005044094,1.0
