,Frontal Lobe,Cingulate,Parietal Lobe,Occipital Lobe,Insula,Hypothalamus,Temporal Lobe,Anterior Temporal,Lateral Temporal,Mesial Temporal,Posterior Temporal,Basal Temporal
Frontal Lobe,1.0,0.7965881837663603,0.5219466158312639,0.3418933059172382,0.12693241386007859,0.4875154365078937,0.570788092468832,0.44983184298185075,0.267251180690709,0.4560739806641446,0.3624303137419086,0.4700406875418195
Cingulate,0.7965881837663603,1.0,0.2475004507079872,0.14865056289211226,0.2348280058350353,0.26814194151757115,0.6345222162868658,0.5373304724640714,0.3364843452695668,0.553239048868761,0.3068810977885122,0.5257397870444187
Parietal Lobe,0.5219466158312639,0.2475004507079872,1.0,0.6727759225692428,0.3286034992422314,0.5242267988164966,0.4051042838118453,0.40652183908782036,0.4039163431146807,0.42574689029116525,0.5335358825259976,0.33072696758361053
Occipital Lobe,0.3418933059172382,0.14865056289211226,0.6727759225692428,1.0,0.041641396995283825,0.5261916141973814,0.4632389409802188,0.43091751160675706,0.4720837707900745,0.49112520858211933,0.5561718360139534,0.40983617769097824
Insula,0.12693241386007859,0.2348280058350353,0.3286034992422314,0.041641396995283825,1.0,0.08701878202129903,0.40106418836149943,0.45532334546820774,0.469721933306168,0.4445816634753839,0.2443210849386825,0.42359888130139095
Hypothalamus,0.4875154365078937,0.26814194151757115,0.5242267988164966,0.5261916141973814,0.08701878202129903,1.0,0.47047341574744345,0.3876123877038924,0.40317642683039123,0.38266505586655924,0.48795296444810377,0.197727642402862
Temporal Lobe,0.570788092468832,0.6345222162868658,0.4051042838118453,0.4632389409802188,0.40106418836149943,0.47047341574744345,1.0,0.9480838155196831,0.8313587096485172,0.9618213683845194,0.5595514812357766,0.6152855771571236
Anterior Temporal,0.44983184298185075,0.5373304724640714,0.40652183908782036,0.43091751160675706,0.45532334546820774,0.3876123877038924,0.9480838155196831,1.0,0.8287981614015207,0.9706418256740776,0.5386931859218866,0.5862644617662118
Lateral Temporal,0.267251180690709,0.3364843452695668,0.4039163431146807,0.4720837707900745,0.469721933306168,0.40317642683039123,0.8313587096485172,0.8287981614015207,1.0,0.856872783222192,0.6155001201915412,0.477018628103246
Mesial Temporal,0.4560739806641446,0.553239048868761,0.42574689029116525,0.49112520858211933,0.4445816634753839,0.38266505586655924,0.9618213683845194,0.9706418256740776,0.856872783222192,1.0,0.6082882138486374,0.6099284653418794
Posterior Temporal,0.3624303137419086,0.3068810977885122,0.5335358825259976,0.5561718360139534,0.2443210849386825,0.48795296444810377,0.5595514812357766,0.5386931859218866,0.6155001201915412,0.6082882138486374,1.0,0.39984033733336305
Basal Temporal,0.4700406875418195,0.5257397870444187,0.33072696758361053,0.40983617769097824,0.42359888130139095,0.197727642402862,0.6152855771571236,0.5862644617662118,0.477018628103246,0.6099284653418794,0.39984033733336305,1.0
