,FL,CING,PL,OL,INSULA,Hypothalamus,TL,Anterior (temporal pole),Lateral Temporal,Mesial Temporal,Posterior Temporal,Basal (including Fusiform OTMG)
FL,1.0,0.6722200154648383,0.47304016762639367,0.4520340237502527,0.43516494886014206,0.04714829654715268,0.493030749966142,0.4983186408356074,0.3684693642145164,0.512502627859392,0.37128889282962246,0.39252770258831987
CING,0.6722200154648383,1.0,0.4215001191770349,0.40831048932641784,0.4390110667066574,-0.26619075363140277,0.6231610260359552,0.5922859728337151,0.5124205720608326,0.6341517688354588,0.3175231584628779,0.5160273097002459
PL,0.47304016762639367,0.4215001191770349,1.0,0.7257409474056632,0.351604769852457,0.12723379506118002,0.42554096649114204,0.403969122160099,0.43114754079081835,0.426947248601159,0.3331539136929379,0.019328330481868525
OL,0.4520340237502527,0.40831048932641784,0.7257409474056632,1.0,0.22154946016924423,0.232831755466458,0.6434287230671599,0.6018799649039478,0.5670127119740571,0.6498622954564549,0.48683884508485165,0.3136069494430252
INSULA,0.43516494886014206,0.4390110667066574,0.351604769852457,0.22154946016924423,1.0,-0.2134291091775865,0.37686437373737,0.39817884587195124,0.3786287864608384,0.3608519269017913,0.05301896455120101,0.2632935555834191
Hypothalamus,0.04714829654715268,-0.26619075363140277,0.12723379506118002,0.232831755466458,-0.2134291091775865,1.0,-0.10773886881540153,-0.10649373396535473,0.03655057794295635,-0.0621082890818197,0.24885056862419896,-0.05732101268435682
TL,0.493030749966142,0.6231610260359552,0.42554096649114204,0.6434287230671599,0.37686437373737,-0.10773886881540153,1.0,0.9776501301922598,0.8576244735846179,0.9899131409358364,0.6173301215225221,0.6110382520666109
Anterior (temporal pole),0.4983186408356074,0.5922859728337151,0.403969122160099,0.6018799649039478,0.39817884587195124,-0.10649373396535473,0.9776501301922598,1.0,0.7890569082576907,0.961115413929871,0.6095123864348226,0.5877140495224641
Lateral Temporal,0.3684693642145164,0.5124205720608326,0.43114754079081835,0.5670127119740571,0.3786287864608384,0.03655057794295635,0.8576244735846179,0.7890569082576907,1.0,0.861271551817068,0.626065832773433,0.4331646917701058
Mesial Temporal,0.512502627859392,0.6341517688354588,0.426947248601159,0.6498622954564549,0.3608519269017913,-0.0621082890818197,0.9899131409358364,0.961115413929871,0.861271551817068,1.0,0.6096898972462532,0.6229950361604174
Posterior Temporal,0.37128889282962246,0.3175231584628779,0.3331539136929379,0.48683884508485165,0.05301896455120101,0.24885056862419896,0.6173301215225221,0.6095123864348226,0.626065832773433,0.6096898972462532,1.0,0.33924797024106024
Basal (including Fusiform OTMG),0.39252770258831987,0.5160273097002459,0.019328330481868525,0.3136069494430252,0.2632935555834191,-0.05732101268435682,0.6110382520666109,0.5877140495224641,0.4331646917701058,0.6229950361604174,0.33924797024106024,1.0
